Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Palau,PLW,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
Palau,PLW,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,43.0
